region,region_slug,milestone,start_year,end_year,display_date,place,observation,evidence_status,source_keys,interpretation,limits
Indus,indus,urban_scale,-2600,-1900,c. 2600–1900 BCE,Harappa and Mohenjo-daro,Mature Harappan urban system,published_settlement_synthesis,GREEN_PETRIE2018,"Large planned centers and a dense regional settlement system define the Mature Harappan urban phase.","Settlement distributions changed within this long phase; the range is not a claim of constant size or one synchronized founding event."
Indus,indus,political_centralization,-2600,-1900,c. 2600–1900 BCE,Indus region,Large-scale coordination without a recovered ruling class,contested_inference,SPENCER2010;GREEN2020,"Shared standards and coordinated urban systems support large-scale governance, while the form and concentration of political authority remain debated.","No comparable palaces royal tombs or individual-aggrandizing monuments have identified a ruling class; this row does not invent kings or a unification date."
Indus,indus,durable_notation,-2600,-1900,c. 2600–1900 BCE,Indus cities and exchange networks,Indus signs on seals tablets and objects,undeciphered_attestation,WELLS2015,"A durable sign system circulated across the Mature Harappan world and is conventionally treated as the Indus script.","The system remains undeciphered; sign sequences do not supply readable political chronicles or a secure account of language."
Indus,indus,monumental_building,-2600,-1900,c. 2600–1900 BCE,Mohenjo-daro,Public-scale structures streets drains and foundations,archaeological_synthesis,GREEN_ALAM_PETRIE2026,"Monumental-scale non-residential structures, planned streets, drainage, and massive foundation platforms made civic coordination visible.","Functions assigned by early excavators remain open to revision; public-scale construction does not identify a palace, king, or centralized ruling class."
Indus,indus,bronze,-2600,-1900,c. 2600–1900 BCE,Harappa Mohenjo-daro Lothal and Rangpur,Copper and deliberately alloyed objects in urban assemblages,analytical_synthesis,PARK_SHINDE2014,"A reviewed multi-site sample found about 40 percent of 129 Mature Harappan copper-base objects contained deliberate tin or arsenic alloying while unalloyed copper remained common.","The sample is not an empire-wide production share, and copper-base metallurgy cannot be reduced to tin bronze alone."
Northern China,northern-china,urban_scale,-2300,-1900,c. 2300–1900 BCE,Taosi,Large walled political and urban center,scholarly_inference,HE2018,"Taosi is interpreted as an early urban political center in the middle Yellow River region.","Its political status and relationship to later states remain interpretive; one site does not date all northern Chinese urbanism."
Northern China,northern-china,political_centralization,-1800,-1500,c. 1800–1500 BCE,Erlitou,Capital-scale center and territorial state model,scholarly_inference,XU2018;SPENCER2010,"Erlitou anchors a model of early territorial state organization and a primary-capital tradition.","The identification of Erlitou with a named dynasty and the selection of one primary-state threshold remain debated."
Northern China,northern-china,durable_notation,-1300,-1250,c. 1300–1250 BCE,Late Shang centers,Secure corpus of Chinese writing,secure_attestation,DEMATTE2022,"The late Shang record supplies the earliest securely attested fully functional Chinese writing corpus used in this comparison.","Earlier marks belong to a longer history of sign use, but their relationship to full writing is disputed and is not promoted into a secure script date."
Northern China,northern-china,monumental_building,-2300,-1900,c. 2300–1900 BCE,Taosi,Rammed-earth enclosure palaces and ceremonial constructions,archaeological_interpretation,HE2018,"Taosi's large enclosure, palace precinct, palaces, altar, and other specialized districts make monumental planning visible before Erlitou.","He interprets Taosi as a monarchic capital; the political label and its relationship to later dynastic states remain debated."
Northern China,northern-china,bronze,-1900,-1500,c. 1900–1500 BCE,Erlitou and central China,Advanced bronze casting at an early capital,archaeometallurgical_synthesis,LIN_LIU2017,"Erlitou metal assemblages include copper-tin and copper-lead-tin alloys and show a more advanced casting stage than earlier northern spearhead traditions.","Earlier copper and arsenical-alloy traditions complicate any single Chinese Bronze Age start date; Erlitou is an adoption and scaling clock, not an invention date."
Mesoamerica,mesoamerica,urban_scale,-500,-100,c. 500–100 BCE,Monte Albán,Hilltop urban center expands,archaeological_sequence,SPENCER2010;SPENCER_REDMOND2004,"Monte Albán grew from a newly founded center into a large urban settlement within a regional hierarchy.","The range spans distinct Early and Late Monte Albán I phases; it is not a claim of uniform size or state organization throughout."
Mesoamerica,mesoamerica,political_centralization,-300,-100,c. 300–100 BCE,Oaxaca Valley,Four-tier settlement hierarchy and regional state inference,scholarly_inference,SPENCER2010;SPENCER_REDMOND2004,"Late Monte Albán I evidence supports a territorial-state interpretation in the Oaxaca Valley.","The inference depends on settlement hierarchy and expansion evidence; it is not a recovered constitutional date for all Mesoamerica."
Mesoamerica,mesoamerica,durable_notation,-650,-650,c. 650 BCE,San Andrés near La Venta,Incised glyphic artifacts,probable_contested_attestation,POHL_ET_AL2002,"Excavated seal and plaque fragments were interpreted as evidence that key features of Mesoamerican writing were present in an Olmec context.","The small corpus and interpretation remain debated; this row does not declare an uncontested first script for the hemisphere."
Mesoamerica,mesoamerica,monumental_building,-1000,-800,c. 1000–800 BCE,Aguada Fénix,Large artificial plateau and ceremonial complex,radiocarbon_and_lidar_attestation,INOMATA_ET_AL2020,"LiDAR, excavation, and Bayesian radiocarbon models date a 1.4-kilometre-long earthen platform to an early Maya communal sequence.","Aguada Fénix does not date the first monument in all Mesoamerica; its scale also does not require a later-style royal court or territorial state."
Mesoamerica,mesoamerica,bronze,1200,1521,c. 1200/1300–1521 CE,West Mexico,Copper-tin and copper-arsenic bronze traditions,technological_chronology,HOSLER1988,"Bronze alloying belongs to the second period of West Mexican metallurgy, long after cities, monuments, and writing were established elsewhere in Mesoamerica.","Metallurgy first arrived around 800 CE and transformed locally; this is a West Mexican technological chronology, not a date for all Mesoamerica or evidence that bronze caused urbanism."
Andes,andes,urban_scale,-2627,-1977,2627–1977 cal BCE,Caral Supe Valley,Urban settlement monumental corporate architecture and irrigation,dated_archaeological_attestation,SHADY_ET_AL2001,"Radiocarbon dates place monumental construction and urban settlement at Caral within this calibrated range.","The interval bounds dated activity at one site; it is not a single foundation year or a population series for the Andes."
Andes,andes,political_centralization,-200,-100,second century BCE,Virú Valley,Functioning regional state probably emerges,probable_inference,MILLAIRE2010,"Excavation and radiocarbon evidence support the inference that a functioning state emerged in the Virú Valley during the second century BCE.","The source calls the conclusion probable and leaves open whether the north coast had one or multiple centers of primary state formation."
Andes,andes,durable_notation,,,No securely accepted script clock,Central and north coast Andes,An explicit evidence gap rather than a year zero,evidence_gap,URTON2017,"This comparison does not assign an early Andean date for fully deciphered writing; absence of that clock does not imply absence of administration or durable record-keeping.","Later khipu traditions preserve information without supplying a securely accepted script date for Caral or early Virú; the gap must not be plotted at 0 BCE."
Andes,andes,monumental_building,-2627,-1977,2627–1977 cal BCE,Caral Supe Valley,Monumental platform mounds and sunken courts,dated_archaeological_attestation,SHADY_ET_AL2001,"Radiocarbon dates place corporate monumental architecture at Caral in the third millennium BCE.","The range belongs to one site sequence and does not by itself prove a territorial state, forced labor, or a single Andean origin point."
Andes,andes,bronze,600,1150,c. 600–1150 CE,Lake Titicaca basin and south-central Andes,Tin-bronze and other bronze traditions scale up,archaeometallurgical_synthesis,GUEDRON_ET_AL2021,"Regional copper production intensified during the Tiwanaku and Wari era, including tin-bronze in northern Bolivia and arsenical bronze in southern Peru.","Copper working began much earlier; this is a clock for regional bronze development and metallurgical intensity, not the invention of Andean metalworking."
