region,region_slug,route_slug,route_label,input,coordinator,outcome,observation,evidence_status,place,time_window,source_keys,interpretation,limits
"Indus","indus","civic-public-goods","Civic public goods","Materials · maintenance labor","Accessible non-residential works","Shared urban infrastructure","Planned streets, drainage, massive foundations, and accessible non-residential structures benefited the wider city.","architectural_synthesis","Mohenjo-daro","Mature Harappan, c. 2600–1900 BCE","GREEN_ALAM_PETRIE2026","Urban coordination can be visible in maintained public goods even when rulers are archaeologically elusive.","Early excavation labels remain revisable; public-scale construction does not identify a palace, king, labor regime, or centralized ruling class."
"Indus","indus","deliberative-governance","Deliberative governance","Community decisions · resources","Possible assembly spaces","Collective-governance hypothesis","Green interprets accessible non-residential spaces and public goods as evidence compatible with collective deliberation and constrained inequality.","contested_governance_inference","Mohenjo-daro","Mature Harappan, c. 2600–1900 BCE","GREEN2020;GREEN_ALAM_PETRIE2026","The Indus case keeps open a route from coordination to urbanism that does not begin with a recovered ruling dynasty.","Deliberative governance is a scholarly model, not a deciphered constitution; absence of palaces does not prove political equality."
"Northern China","northern-china","segregated-storage","Segregated storage","Stored agricultural goods","Isolated large-pit zone","Supra-household reserves","Taosi's core included a spatially isolated zone of large storage pits separate from residential, ceremonial, and craft districts.","archaeological_inference","Taosi","Middle Taosi, c. 2100–2000 BCE","HE2018","Segregation and scale are consistent with supra-household storage and guarded access.","Tax collection, grain contents, redistribution, guards, and ruler control are interpretations rather than surviving administrative records."
"Northern China","northern-china","managed-craft-district","Managed craft district","Stone · clay · skilled labor","Segregated production sub-zones","Specialized output in one district","Taosi survey and excavation identified ceramic and lithic production sub-zones with large rammed-earth buildings interpreted as possible managerial facilities.","archaeological_inference","Taosi","Middle Taosi, c. 2100–2000 BCE","HE2018","Spatially organized production suggests coordination beyond isolated households.","Debris and architecture do not directly identify bureaucrats, worker status, full-time specialization, production totals, or monopoly control."
"Northern China","northern-china","palace-workshops","Palace-adjacent workshops","Metal · turquoise · specialist skill","Government-run workshop model","Prestige goods near the political core","Erlitou's core included bronze and turquoise production associated with a workshop zone near the palatial area.","published_archaeological_model","Erlitou","c. 1800–1500 BCE","XU2018","Control of rare materials and specialist production is one route by which an early capital concentrated institutional power.","The governmental-control model is archaeological interpretation; it does not settle Erlitou's dynastic name or quantify labor and output."
"Northern China","northern-china","planned-capital-core","Planned capital core","Roads · rammed earth · labor","Palatial and ritual compounds","Structured movement and access","Roads and organized core areas structured access among palatial, ritual, residential, and production spaces at Erlitou.","archaeological_synthesis","Erlitou","c. 1800–1500 BCE","XU2018","A planned core coordinated movement and large construction while making hierarchy spatially visible.","A road grid and palatial architecture do not reveal the command chain, labor obligations, tax base, or territorial reach in a shared unit."
"Mesoamerica","mesoamerica","household-intensification","Household intensification","Maize · land · family labor","Rural and urban households","More production without one command center","Settlement and land-use evidence around Monte Albán supports agricultural intensification by households as urban and rural populations grew together.","regional_archaeological_synthesis","Valley of Oaxaca","Late Formative","NICHOLAS_FEINMAN2022","Households could generate and retain productive capacity while participating in a larger urban system.","The evidence does not provide household surplus shares or prove that intensification was voluntary, equal, or caused by urban demand alone."
"Mesoamerica","mesoamerica","marketplace-buffering","Marketplace exchange","Food · craft goods · information","Periodic marketplaces","Goods moved across ecological zones","Marketplace links could move goods among ecological zones and buffer shortfalls in the variable Oaxaca environment.","published_synthesis","Valley of Oaxaca","Late Formative","NICHOLAS_FEINMAN2022","Exchange coordinated dispersed producers without requiring all goods to pass through a palace storehouse.","Marketplace importance is reconstructed from settlement and material evidence; prices, traded volumes, access, and institutional rules are not directly observed."
"Mesoamerica","mesoamerica","distributed-waterworks","Distributed water works","Rainfall · runoff · household labor","Small-scale facilities","Locally improved water access","Monte Albán and its sustaining communities relied on household- and community-scale water and land improvements rather than a single great irrigation system.","regional_archaeological_synthesis","Monte Albán and the Valley of Oaxaca","Late Formative","NICHOLAS_FEINMAN2022","Many small investments can coordinate an urban hinterland without top-down hydraulic command.","Small-scale works do not prove egalitarian access, and their presence cannot be converted into one irrigation-capacity or state-power score."
"Mesoamerica","mesoamerica","communal-monument","Communal monument","Earth · time · coordinated labor","Large collective construction","A shared ceremonial landscape","Aguada Fénix's enormous plateau was built mainly between 1000 and 800 BCE before evidence for later Maya royal courts and marked inequality.","dated_archaeological_inference","Aguada Fénix","c. 1000–800 BCE","INOMATA_ET_AL2020","Large communal projects could assemble labor and shared ritual before a familiar dynastic apparatus appeared.","The construction demonstrates coordination, not whether labor was voluntary, coerced, seasonal, centrally commanded, or organized identically across the Maya region."
"Andes","andes","irrigated-valley-production","Irrigated valley production","River water · crops · field labor","Valley irrigation communities","Agriculture beside monumental centers","Caral's dated occupation combined monumental settlement with irrigated agriculture in the Supe Valley.","dated_archaeological_synthesis","Caral and the Supe Valley","2627–1977 calibrated BCE","SHADY_ET_AL2001","Irrigated valley production supplied one foundation for sustained concentration in an otherwise arid coast.","Irrigation does not by itself prove centralized hydraulic control, quantify surplus, or identify who owned water, fields, and harvests."
"Andes","andes","coast-valley-complementarity","Coast–valley complementarity","Fish · cotton · orchard crops","Fishing and farming communities","Interdependent production systems","Intensive net fishing depended on cultivated cotton while irrigated valleys produced cotton and orchard crops alongside marine food systems.","environmental_archaeological_synthesis","Norte Chico coast and valleys","Late Archaic","SANDWEISS_ET_AL2009","Different communities could create usable abundance through complementary production rather than one self-sufficient staple system.","Complementarity does not establish centralized redistribution, exact exchange ratios, market institutions, or control by Caral's monumental center."
"Andes","andes","maize-expansion","Maize expansion","Maize · processing labor","Distributed cultivation and consumption","A broader food base","Multi-proxy evidence indicates substantial maize cultivation, processing, and consumption across Late Archaic Norte Chico sites.","multi_proxy_archaeology","Norte Chico","3000–1800 BCE","HAAS_ET_AL2013","Maize joined marine and irrigated resources, broadening the production portfolio available to concentrated settlements.","The study addresses an earlier sampling debate but does not produce a regional calorie share or show that one institution controlled maize production."
"Andes","andes","monumental-centers","Monumental centers","Stone · earth · recurring labor","Public architecture and ritual gathering","Built coordination on a large scale","Caral's platform mounds, plazas, and residential sectors materialize repeated coordination of construction and gathering.","architectural_inference","Caral","2627–1977 calibrated BCE","SHADY_ET_AL2001;GONZALEZ_GARCIA_ET_AL2021","Monumental projects could stabilize cooperation and ritual focus alongside irrigation and coastal exchange.","Architecture does not reveal exact workforce, coercion, political offices, construction tempo, or whether labor was centrally levied."
