region,region_slug,dimension,dimension_label,headline,observation,evidence_status,place,time_window,source_keys,interpretation,limits
Indus,indus,water,Water regime,Many local water landscapes,"Indus communities occupied a large region with varied land and water conditions rather than one uniform river-valley environment.",landscape_archaeology,Northwest India within the wider Indus region,c. 3000–1300 BCE,PETRIE_ET_AL2017;GREEN_PETRIE2018,"Adaptation was regional and local; the Indus system cannot be reduced to one vanished river or irrigation template.","The Land, Water and Settlement project covers one part of the civilization and cannot stand for every Indus ecology."
Indus,indus,rainfall,Rainfall dependence,Winter and summer rains overlap,"The civilization crossed an environmental threshold where winter and summer rainfall systems overlap and changed during the urban phase.",palaeoenvironmental_and_archaeological_synthesis,Indus northwest India,c. 2500–1900 BCE,PETRIE_ET_AL2017;MADELLA_FULLER2006,"Farmers could draw on different seasonal water regimes, helping explain varied local strategies and later reorganization.","Climate change accompanied cultural transformation, but no single climatic event explains a sudden civilizational end."
Indus,indus,crops,Crop strategy,Seasonally diverse cropping,"Overlapping rainfall systems supported varied crop choices and locally different agricultural schedules rather than one synchronized cereal package.",archaeobotanical_and_landscape_synthesis,Northwest India,Mature Harappan and adjacent phases,PETRIE_ET_AL2017,"Diversity in cropping was a form of adaptation across variable ecologies.","The regional evidence does not yield one empire-wide crop mix or annual production share."
Indus,indus,transport,Transport,Regional exchange across varied terrain,"Large centers and smaller settlements remained connected across floodplains, interfluves, and changing water landscapes.",settlement_distribution_synthesis,Northwest Indian Indus zone,Mature Harappan phase,GREEN_PETRIE2018;PETRIE_ET_AL2017,"Connectivity crossed ecological zones; it was not simply movement down one navigable trunk river.","Settlement distributions imply interaction but do not directly measure cargo, routes, or transport mode."
Indus,indus,settlement,Settlement form,Polycentric urban network,"Large planned cities sat within a dense and changing regional settlement system distributed across unlike environments.",settlement_distribution_synthesis,Indus region,c. 2600–1900 BCE,GREEN_PETRIE2018,"Urbanism was networked and polycentric rather than a single capital dominating one narrow valley.","Survey coverage and site visibility vary; the data do not support a uniform settlement-density number across the whole civilization."
Northern China,northern-china,water,Water regime,Tablelands and river terraces,"Taosi occupied loess tableland above immediate flood risk, whereas Erlitou stood on a terrace near the Yi–Luo confluence.",environmental_archaeological_synthesis,Taosi and Erlitou,late third–early second millennia BCE,ZHUANG2024,"Rivers mattered differently by place: as hazards, fertile margins, water sources, and corridors—not one hydraulic setting.","Two prominent centers do not represent every northern Chinese landscape or prove state water control."
Northern China,northern-china,rainfall,Rainfall dependence,Dryland farming zone,"Northern farming developed in relatively dry, well-drained foothills and loess landscapes suited to millet cultivation.",archaeobotanical_and_environmental_synthesis,North China foothills and loess regions,Neolithic through early Bronze Age,LIU_HUNT_JONES2009;ZHUANG2024,"The agricultural base was fundamentally dryland even where rivers and wells remained important.","A broad regional synthesis cannot supply one rainfall value for Taosi, Erlitou, or all northern China."
Northern China,northern-china,crops,Crop strategy,Millet-dominant dryland crops,"Broomcorn and foxtail millet anchored northern farming; foxtail millet predominated at Taosi and Erlitou while rice remained minor in the cited assemblages.",archaeobotanical_synthesis,North China; Taosi and Erlitou,Neolithic through early Bronze Age,LIU_HUNT_JONES2009;ZHUANG2024,"Millet supported dense centers without requiring a wet-rice or large-river irrigation model.","Assemblages are site samples, not regional calorie shares, and crop proportions changed over time."
Northern China,northern-china,transport,Transport,Land routes and confluences,"Loess uplands helped Taosi connect by land, while Erlitou's river confluence offered a different trade and transport advantage.",environmental_archaeological_synthesis,Taosi and Erlitou,late third–early second millennia BCE,ZHUANG2024,"Early centers used different transport geographies within the same broad region.","The contrast is qualitative; no comparable traffic volume survives for either center."
Northern China,northern-china,settlement,Settlement form,Stable loess platforms,"Loess tablelands, platform plains, and alluvial terraces offered comparatively stable ground for settlement growth while avoiding the most active channels.",environmental_archaeological_synthesis,Middle Yellow River region,c. 5000–4000 BP emphasis,ZHUANG2024,"Settlement concentration often occupied land beside rivers rather than directly inside their flood paths.","Geomorphic suitability is one condition among many and does not itself explain political centralization."
Mesoamerica,mesoamerica,water,Water regime,Rain capture on a hilltop,"Monte Albán had few permanent water sources; households used small canals, diversion features, and terraces to collect or redirect rainwater.",settlement_and_land_use_synthesis,Monte Albán,c. 500–100 BCE,NICHOLAS_FEINMAN2022,"Water management was distributed and small-scale rather than one centrally commanded river system.","Many features are dated broadly, and their presence does not prove centralized construction or uniform use."
Mesoamerica,mesoamerica,rainfall,Rainfall dependence,Risky and variable rainfall,"The hilltop center occupied land where farming was riskier because rainfall was unreliable and spatially variable.",settlement_and_land_use_synthesis,Valley of Oaxaca,c. 500–100 BCE,NICHOLAS_FEINMAN2022,"Growth occurred despite agrarian risk, weakening a simple model in which cities occupy only the best-watered land.","The source does not provide an annual rainfall series or show that risk alone attracted settlers."
Mesoamerica,mesoamerica,crops,Crop strategy,Maize-centered household farming,"Maize supplied most calories alongside beans, squash, xerophytic plants, and other household resources.",subsistence_and_land_use_synthesis,Valley of Oaxaca,Early Monte Albán sequence,NICHOLAS_FEINMAN2022,"A staple-crop economy could intensify through household labor without centralized food storage.","The synthesis does not establish exact diet shares or exclude exchange and gathered resources."
Mesoamerica,mesoamerica,transport,Transport,Marketplace links across three arms,"Monte Albán's position at the valley nexus supported marketplace exchange that moved food and goods and buffered localized rainfall risk.",institutional_and_settlement_synthesis,Valley of Oaxaca,c. 500–100 BCE,NICHOLAS_FEINMAN2022,"Connectivity and exchange helped a water-poor hilltop center draw on multiple production zones.","Marketplace inference does not yield route volumes or prove that exchange alone caused urban growth."
Mesoamerica,mesoamerica,settlement,Settlement form,Hilltop city plus rural growth,"Monte Albán grew on a defendable hilltop while population also increased in surrounding rural zones; prime farmland was not fully occupied first.",regional_settlement_synthesis,Valley of Oaxaca,c. 500–100 BCE,NICHOLAS_FEINMAN2022,"Urban concentration and rural intensification expanded together rather than simply displacing farmers onto marginal land.","Published population estimates are model-dependent; this comparison therefore uses settlement form, not a shared density score."
Andes,andes,water,Water regime,Seasonal river irrigation,"Supe agriculture used annual river floods and irrigated valley land within an otherwise arid coastal landscape.",archaeological_and_landscape_synthesis,Supe Valley,c. 3000–1800 BCE,GONZALEZ_GARCIA_ET_AL2021;SHADY_ET_AL2001,"A narrow river corridor made agriculture possible beside one of the world's most productive marine environments.","River influence on monument location does not reconstruct every canal, field, or annual flood."
Andes,andes,rainfall,Rainfall dependence,Desert coast fed from upstream,"Seasonal rains and subsequent river floods linked inland weather to farming in the arid coastal valleys; exceptional El Niño rains could instead be destructive.",environmental_and_archaeological_synthesis,North-central Peruvian coast,c. 5800–3600 cal BP,SANDWEISS_ET_AL2009;GONZALEZ_GARCIA_ET_AL2021,"Low local rainfall did not mean no water cycle: production depended on runoff while rare floods could reorganize the landscape.","The disaster sequence is a published hypothesis and should not be converted into a deterministic collapse curve."
Andes,andes,crops,Crop strategy,Maize plus cotton and orchards,"Evidence shows widely grown and processed maize during 3000–1800 BCE, while earlier interpretations emphasize irrigated cotton, orchards, and marine protein.",mixed_archaeobotanical_and_environmental_evidence,Norte Chico and Supe,c. 3000–1800 BCE,HAAS_ET_AL2013;SANDWEISS_ET_AL2009,"The productive base joined food crops and non-food crops to an intensive fishing economy.","The relative importance of maize has been debated; different sampling methods and periods should not be collapsed into one fixed diet share."
Andes,andes,transport,Transport,Coast–valley exchange,"Marine fish and inland irrigated crops formed a linked economy across the shore and river valleys.",economic_and_environmental_synthesis,North-central Peruvian coast,c. 5800–3600 cal BP,SANDWEISS_ET_AL2009,"The key network crossed ecological zones rather than following a single inland river corridor.","The evidence supports complementarity but does not quantify exchange volumes or assign one political controller."
Andes,andes,settlement,Settlement form,Monumental centers on arid terraces,"Large settlements and monuments occupied Supe Valley and adjacent desert drainages while farming used the limited irrigable corridors and fishing anchored coastal sites.",archaeological_and_environmental_synthesis,Supe Valley and adjacent drainages,c. 3000–1800 BCE,SHADY_ET_AL2001;SANDWEISS_ET_AL2009,"Dense ceremonial and residential centers could grow through coastal–valley complementarity rather than a cereal-only river state.","Site size and monumentality do not produce a comparable population density or prove a single centralized state."
